frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
11, 0, 0.400, 0.88, 1, 0.89, 0.84, 0.85, 0.00, 0.94, 0.32, 0.00, 0.24, 0.48, 0.67, 0.00, 0.15, 0.53, 0.41, 1.18, 0.76, 0.15, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
12, 0, 0.440, 0.88, 1, 0.69, 0.73, 0.95, 0.00, 0.95, 0.44, 0.00, 0.21, 0.47, 0.57, 0.00, 0.15, 0.53, 0.48, 1.11, 0.61, 0.30, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
13, 0, 0.480, 0.88, 1, 0.56, 0.65, 1.00, 0.00, 0.97, 0.64, 0.00, 0.20, 0.46, 0.48, 0.00, 0.17, 0.48, 0.54, 1.04, 0.51, 0.39, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
14, 0, 0.520, 0.88, 1, 0.56, 0.55, 0.95, 0.00, 1.04, 0.41, 0.00, 0.25, 0.51, 0.52, 0.00, 0.12, 0.42, 0.60, 1.05, 0.53, 0.32, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
15, 0, 0.560, 0.88, 1, 0.71, 0.67, 0.89, 0.09, 1.04, 0.20, 0.00, 0.19, 0.49, 0.69, 0.00, 0.10, 0.35, 0.62, 1.08, 0.54, 0.14, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
16, 0, 0.600, 0.88, 1, 0.84, 0.74, 0.86, 0.31, 1.13, 0.00, 0.00, 0.27, 0.49, 0.69, 0.00, 0.00, 0.36, 0.54, 1.15, 0.64, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
17, 0, 0.640, 0.88, 1, 0.90, 0.64, 0.92, 0.52, 1.12, 0.10, 0.00, 0.34, 0.41, 0.76, 0.00, 0.00, 0.41, 0.42, 1.12, 0.65, 0.06, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
18, 0, 0.680, 0.88, 1, 0.87, 0.51, 0.92, 0.68, 1.20, 0.26, 0.00, 0.45, 0.38, 0.68, 0.00, 0.01, 0.45, 0.31, 1.09, 0.64, 0.12, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
19, 0, 0.720, 0.88, 1, 0.90, 0.57, 0.85, 0.62, 1.17, 0.26, 0.00, 0.56, 0.43, 0.79, 0.00, 0.03, 0.40, 0.30, 1.22, 0.36, 0.19, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
20, 0, 0.760, 0.88, 1, 0.89, 0.57, 0.85, 0.58, 1.18, 0.17, 0.00, 0.66, 0.50, 0.79, 0.00, 0.03, 0.36, 0.32, 1.38, 0.17, 0.15, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
21, 0, 0.800, 0.88, 1, 0.92, 0.53, 0.74, 0.38, 1.12, 0.03, 0.00, 0.77, 0.60, 0.80, 0.00, 0.02, 0.43, 0.31, 1.56, 0.00, 0.10, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22, 0, 0.840, 0.88, 1, 0.85, 0.39, 0.68, 0.30, 1.06, 0.03, 0.00, 0.70, 0.60, 0.72, 0.00, 0.04, 0.47, 0.30, 1.56, 0.00, 0.07, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
23, 0, 0.880, 0.88, 1, 0.83, 0.30, 0.57, 0.24, 0.97, 0.05, 0.00, 0.68, 0.60, 0.61, 0.00, 0.06, 0.48, 0.29, 1.56, 0.00, 0.06, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
24, 0, 0.920, 0.88, 1, 0.73, 0.41, 0.48, 0.32, 0.91, 0.02, 0.00, 0.77, 0.59, 0.45, 0.00, 0.09, 0.33, 0.26, 1.75, 0.10, 0.06, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
25, 0, 0.960, 0.88, 1, 0.63, 0.48, 0.46, 0.36, 0.90, 0.02, 0.00, 0.89, 0.59, 0.30, 0.00, 0.18, 0.18, 0.30, 1.93, 0.26, 0.01, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
26, 0, 1.000, 0.88, 1, 0.37, 0.46, 0.25, 0.25, 0.75, 0.00, 0.00, 0.97, 0.67, 0.26, 0.00, 0.16, 0.09, 0.21, 1.49, 0.26, 0.27, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
27, 0, 1.040, 0.98, 1, 0.17, 0.42, 0.16, 0.13, 0.64, 0.00, 0.00, 0.98, 0.75, 0.31, 0.00, 0.13, 0.05, 0.15, 0.90, 0.15, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
28, 0, 1.080, 0.98, 1, 0.00, 0.40, 0.00, 0.00, 0.49, 0.00, 0.00, 1.06, 0.84, 0.39, 0.00, 0.00, 0.06, 0.01, 0.32, 0.00, 0.61, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
29, 0, 1.120, 0.98, 1, 0.00, 0.34, 0.00, 0.00, 0.54, 0.00, 0.00, 1.14, 0.92, 0.49, 0.00, 0.00, 0.03, 0.01, 0.28, 0.00, 0.60, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
30, 0, 1.160, 0.98, 1, 0.00, 0.15, 0.00, 0.00, 0.55, 0.03, 0.00, 1.21, 0.99, 0.65, 0.00, 0.00, 0.02, 0.01, 0.16, 0.00, 0.68, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
31, 0, 1.200, 0.98, 1, 0.00, 0.00, 0.13, 0.00, 0.63, 0.16, 0.03, 1.29, 0.98, 0.58, 0.00, 0.00, 0.09, 0.00, 0.26, 0.15, 0.72, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
32, 0, 1.240, 0.98, 1, 0.00, 0.00, 0.30, 0.00, 0.67, 0.23, 0.05, 1.38, 0.91, 0.40, 0.00, 0.00, 0.15, 0.00, 0.45, 0.29, 0.64, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
33, 0, 1.280, 0.98, 1, 0.00, 0.00, 0.48, 0.00, 0.73, 0.27, 0.07, 1.43, 0.83, 0.20, 0.00, 0.00, 0.21, 0.00, 0.66, 0.42, 0.60, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
34, 0, 1.320, 0.98, 1, 0.00, 0.00, 0.48, 0.00, 0.77, 0.16, 0.09, 1.45, 0.88, 0.34, 0.00, 0.00, 0.25, 0.00, 0.43, 0.29, 0.64, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
35, 0, 1.360, 0.98, 1, 0.00, 0.00, 0.40, 0.00, 0.82, 0.09, 0.14, 1.45, 0.92, 0.48, 0.02, 0.00, 0.30, 0.00, 0.21, 0.21, 0.69, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
36, 0, 1.400, 0.98, 1, 0.00, 0.00, 0.27, 0.00, 0.86, 0.02, 0.14, 1.40, 0.92, 0.56, 0.02, 0.00, 0.39, 0.00, 0.27, 0.11, 0.77, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
37, 0, 1.440, 0.98, 1, 0.00, 0.00, 0.17, 0.00, 0.87, 0.01, 0.12, 1.33, 0.88, 0.49, 0.02, 0.00, 0.42, 0.00, 0.54, 0.14, 0.81, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
38, 0, 1.480, 0.98, 1, 0.00, 0.00, 0.09, 0.00, 0.87, 0.01, 0.07, 1.28, 0.83, 0.42, 0.00, 0.00, 0.46, 0.00, 0.82, 0.14, 0.84, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
39, 0, 1.520, 0.98, 1, 0.00, 0.00, 0.12, 0.00, 0.89, 0.20, 0.08, 1.30, 0.81, 0.42, 0.08, 0.00, 0.46, 0.00, 0.74, 0.10, 0.81, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
40, 0, 1.560, 0.98, 1, 0.00, 0.00, 0.18, 0.00, 0.92, 0.42, 0.11, 1.35, 0.78, 0.45, 0.18, 0.00, 0.52, 0.00, 0.66, 0.06, 0.77, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
41, 0, 1.600, 0.98, 1, 0.00, 0.00, 0.24, 0.00, 0.93, 0.56, 0.09, 1.34, 0.73, 0.40, 0.31, 0.09, 0.52, 0.00, 0.68, 0.00, 0.68, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
42, 0, 1.640, 0.98, 1, 0.00, 0.00, 0.26, 0.00, 0.91, 0.53, 0.07, 1.32, 0.70, 0.36, 0.35, 0.14, 0.52, 0.00, 0.78, 0.00, 0.57, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
43, 0, 1.680, 0.98, 1, 0.00, 0.00, 0.26, 0.00, 0.90, 0.50, 0.05, 1.28, 0.67, 0.31, 0.38, 0.17, 0.47, 0.00, 0.87, 0.00, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
44, 0, 1.720, 0.98, 1, 0.00, 0.00, 0.21, 0.00, 0.92, 0.42, 0.05, 1.30, 0.67, 0.32, 0.33, 0.18, 0.40, 0.00, 0.85, 0.09, 0.43, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
45, 0, 1.760, 0.98, 1, 0.00, 0.00, 0.20, 0.00, 0.92, 0.30, 0.03, 1.31, 0.66, 0.32, 0.31, 0.21, 0.34, 0.00, 0.87, 0.19, 0.40, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
46, 0, 1.800, 0.98, 1, 0.00, 0.00, 0.13, 0.00, 0.90, 0.28, 0.00, 1.33, 0.67, 0.34, 0.24, 0.22, 0.33, 0.00, 0.83, 0.21, 0.37, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
47, 0, 1.840, 0.98, 1, 0.00, 0.00, 0.09, 0.00, 0.87, 0.41, 0.00, 1.35, 0.68, 0.38, 0.19, 0.22, 0.38, 0.00, 0.75, 0.12, 0.31, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
48, 0, 1.880, 0.98, 1, 0.00, 0.00, 0.09, 0.00, 0.87, 0.53, 0.00, 1.32, 0.68, 0.52, 0.11, 0.21, 0.39, 0.00, 0.65, 0.16, 0.25, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
49, 0, 1.920, 0.98, 1, 0.00, 0.00, 0.09, 0.00, 0.85, 0.56, 0.02, 1.32, 0.61, 0.64, 0.09, 0.31, 0.34, 0.00, 0.52, 0.14, 0.30, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
50, 0, 1.960, 0.98, 1, 0.00, 0.00, 0.12, 0.00, 0.83, 0.56, 0.04, 1.32, 0.54, 0.70, 0.07, 0.33, 0.32, 0.00, 0.44, 0.13, 0.35, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
51, 0, 2.000, 0.98, 1, 0.00, 0.00, 0.16, 0.00, 0.83, 0.71, 0.04, 1.58, 0.46, 0.48, 0.05, 0.38, 0.26, 0.00, 0.80, 0.35, 0.58, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
52, 0, 2.040, 0.98, 1, 0.00, 0.00, 0.24, 0.00, 0.88, 0.80, 0.02, 1.76, 0.41, 0.28, 0.01, 0.38, 0.20, 0.00, 1.26, 0.76, 0.73, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
53, 0, 2.080, 0.98, 1, 0.00, 0.00, 0.29, 0.00, 0.91, 0.83, 0.00, 1.97, 0.37, 0.14, 0.00, 0.43, 0.20, 0.00, 1.69, 1.14, 0.87, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
54, 0, 2.120, 0.98, 1, 0.00, 0.00, 0.32, 0.00, 0.91, 0.65, 0.00, 1.88, 0.35, 0.34, 0.00, 0.51, 0.19, 0.00, 1.57, 1.07, 0.69, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00
55, 0, 2.160, 0.98, 1, 0.00, 0.00, 0.41, 0.00, 0.90, 0.49, 0.00, 1.78, 0.35, 0.53, 0.00, 0.59, 0.22, 0.00, 1.46, 0.96, 0.49, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
56, 0, 2.200, 0.98, 1, 0.00, 0.00, 0.45, 0.00, 0.88, 0.40, 0.00, 1.58, 0.36, 0.74, 0.00, 0.63, 0.12, 0.00, 1.17, 0.77, 0.23, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
57, 0, 2.240, 0.98, 1, 0.00, 0.00, 0.44, 0.00, 0.88, 0.39, 0.00, 1.50, 0.36, 0.79, 0.00, 0.60, 0.08, 0.00, 1.00, 0.68, 0.11, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
58, 0, 2.280, 0.98, 1, 0.00, 0.00, 0.39, 0.00, 0.85, 0.44, 0.00, 1.40, 0.38, 0.84, 0.00, 0.57, 0.00, 0.00, 0.84, 0.57, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
59, 0, 2.320, 0.98, 1, 0.00, 0.00, 0.37, 0.00, 0.80, 0.48, 0.01, 1.37, 0.42, 0.91, 0.00, 0.55, 0.03, 0.00, 0.68, 0.61, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
60, 0, 2.360, 0.98, 1, 0.00, 0.00, 0.28, 0.00, 0.74, 0.36, 0.01, 1.29, 0.43, 0.98, 0.00, 0.52, 0.15, 0.00, 0.47, 0.56, 0.02, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
61, 0, 2.400, 0.98, 1, 0.00, 0.00, 0.25, 0.00, 0.71, 0.18, 0.01, 1.21, 0.51, 1.18, 0.03, 0.51, 0.23, 0.12, 0.18, 0.51, 0.02, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
62, 0, 2.440, 0.98, 1, 0.00, 0.00, 0.24, 0.00, 0.73, 0.00, 0.00, 1.18, 0.52, 1.30, 0.06, 0.51, 0.31, 0.24, 0.08, 0.41, 0.02, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
63, 0, 2.480, 0.98, 1, 0.00, 0.00, 0.31, 0.00, 0.75, 0.00, 0.00, 1.19, 0.56, 1.45, 0.10, 0.53, 0.32, 0.37, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
64, 0, 2.520, 0.98, 1, 0.00, 0.00, 0.30, 0.00, 0.77, 0.05, 0.00, 1.15, 0.55, 1.47, 0.15, 0.54, 0.44, 0.37, 0.00, 0.37, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
65, 0, 2.560, 0.98, 1, 0.00, 0.00, 0.30, 0.00, 0.76, 0.10, 0.00, 1.09, 0.56, 1.49, 0.18, 0.54, 0.50, 0.39, 0.00, 0.40, 0.07, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
66, 0, 2.600, 0.98, 1, 0.00, 0.00, 0.25, 0.00, 0.76, 0.14, 0.00, 1.01, 0.54, 1.52, 0.18, 0.54, 0.56, 0.36, 0.00, 0.43, 0.13, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
67, 0, 2.640, 0.98, 1, 0.00, 0.00, 0.22, 0.00, 0.75, 0.15, 0.00, 0.99, 0.51, 1.52, 0.14, 0.56, 0.51, 0.31, 0.00, 0.42, 0.19, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
68, 0, 2.680, 0.98, 1, 0.00, 0.00, 0.18, 0.00, 0.77, 0.16, 0.00, 0.99, 0.49, 1.54, 0.10, 0.57, 0.49, 0.24, 0.00, 0.40, 0.23, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
69, 0, 2.720, 0.98, 1, 0.00, 0.00, 0.22, 0.00, 0.71, 0.16, 0.00, 1.01, 0.44, 1.35, 0.06, 0.59, 0.50, 0.15, 0.15, 0.48, 0.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
70, 0, 2.760, 0.98, 1, 0.00, 0.00, 0.25, 0.00, 0.65, 0.15, 0.00, 1.00, 0.40, 1.19, 0.03, 0.63, 0.51, 0.07, 0.29, 0.57, 0.08, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
