frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
11, 0, 1.000, 0.98, 1, 0.00, 0.00, 0.26, 0.00, 0.17, 1.62, 0.12, 1.46, 0.00, 0.62, 0.00, 0.00, 0.00, 0.00, 2.01, 1.17, 0.43, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
12, 0, 1.100, 0.98, 1, 0.00, 0.00, 0.28, 0.00, 0.20, 1.51, 0.07, 1.51, 0.00, 1.10, 0.00, 0.00, 0.09, 0.00, 2.12, 0.97, 0.58, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
13, 0, 1.200, 0.98, 1, 0.00, 0.00, 0.20, 0.00, 0.55, 1.47, 0.03, 1.72, 0.00, 1.65, 0.00, 0.00, 0.30, 0.00, 1.76, 0.75, 0.64, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
14, 0, 1.300, 0.98, 1, 0.00, 0.00, 0.06, 0.00, 0.91, 1.49, 0.00, 1.60, 0.00, 1.72, 0.11, 0.03, 0.63, 0.00, 1.14, 0.39, 0.44, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
15, 0, 1.400, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.98, 1.05, 0.00, 1.52, 0.13, 1.51, 0.32, 0.35, 0.54, 0.17, 0.76, 0.23, 0.36, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
16, 0, 1.500, 0.98, 1, 0.00, 0.00, 0.00, 0.00, 0.62, 0.56, 0.00, 0.89, 0.13, 0.74, 0.32, 0.35, 0.33, 0.17, 0.45, 0.00, 0.19, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17, 0, 1.600, 0.03, 0, 0.05, 0.12, 0.00, 0.00, 0.46, 0.00, 0.00, 0.86, 0.13, 1.22, 0.21, 0.57, 0.05, 0.68, 0.31, 0.27, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18, 0, 1.700, 0.82, 1, 0.05, 0.12, 0.00, 0.00, 0.23, 0.00, 0.00, 0.38, 0.00, 0.74, 0.00, 0.25, 0.05, 0.51, 0.00, 0.27, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19, 0, 1.800, 0.43, 0, 0.05, 0.12, 0.25, 0.00, 0.44, 0.00, 0.02, 0.93, 0.00, 1.25, 0.20, 0.95, 0.36, 0.93, 0.08, 0.61, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
20, 0, 1.900, 0.82, 1, 0.13, 0.00, 0.25, 0.00, 0.50, 0.59, 0.05, 1.21, 0.00, 0.61, 0.68, 1.96, 0.42, 0.90, 0.08, 0.67, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
21, 0, 2.000, 0.98, 1, 0.15, 0.00, 0.25, 0.00, 0.89, 0.96, 0.05, 2.03, 0.00, 1.17, 0.80, 2.13, 0.50, 0.90, 0.38, 0.67, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22, 0, 2.100, 0.98, 1, 0.15, 0.00, 0.00, 0.00, 1.20, 1.66, 0.03, 2.53, 0.00, 0.83, 0.97, 1.76, 0.45, 0.48, 0.31, 0.33, 0.14, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
23, 0, 2.200, 0.98, 1, 0.24, 0.21, 0.00, 0.00, 1.32, 1.46, 0.00, 2.74, 0.00, 1.27, 0.55, 1.08, 0.43, 0.09, 0.31, 0.00, 0.50, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
24, 0, 2.300, 0.98, 1, 0.43, 0.47, 0.00, 0.00, 1.49, 1.38, 0.09, 2.07, 0.00, 0.88, 0.50, 1.95, 0.65, 0.24, 0.06, 0.35, 0.51, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
25, 0, 2.400, 0.98, 1, 0.65, 0.61, 0.00, 0.00, 1.48, 0.94, 0.17, 1.09, 0.00, 0.73, 0.26, 2.42, 0.87, 0.34, 0.05, 0.65, 0.38, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
26, 0, 2.500, 0.98, 1, 0.79, 0.61, 0.00, 0.00, 1.59, 0.94, 0.24, 0.22, 0.00, 0.28, 0.39, 2.50, 1.29, 0.25, 0.05, 0.93, 0.15, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
27, 0, 2.600, 0.98, 1, 0.83, 0.35, 0.00, 0.00, 1.62, 1.28, 0.25, 0.17, 0.00, 0.13, 0.62, 2.06, 1.40, 0.11, 0.00, 0.83, 0.14, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
28, 0, 2.700, 0.98, 1, 0.61, 0.22, 0.26, 0.00, 1.53, 1.52, 0.17, 0.09, 0.00, 0.10, 0.54, 1.48, 1.12, 0.02, 0.78, 0.53, 0.12, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
29, 0, 2.800, 0.88, 1, 0.25, 0.19, 0.34, 0.00, 1.17, 1.37, 0.10, 0.09, 0.00, 0.01, 0.40, 1.05, 0.86, 0.07, 1.11, 0.25, 0.20, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
30, 0, 2.900, 0.98, 1, 0.00, 0.49, 0.52, 0.00, 0.60, 0.99, 0.00, 0.00, 0.00, 0.00, 0.10, 0.48, 0.48, 0.06, 1.92, 0.17, 0.39, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00
31, 0, 3.000, 0.98, 1, 0.00, 0.80, 0.44, 0.00, 0.23, 0.63, 0.00, 0.00, 0.00, 0.00, 0.05, 0.27, 0.44, 0.05, 1.98, 0.41, 0.66, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
32, 0, 3.100, 0.98, 1, 0.00, 1.28, 0.54, 0.00, 0.11, 0.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0.19, 0.38, 0.20, 2.46, 0.79, 0.86, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
33, 0, 3.200, 0.98, 1, 0.00, 1.71, 0.65, 0.00, 0.13, 0.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.58, 0.25, 2.57, 1.06, 0.97, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
34, 0, 3.300, 0.98, 1, 0.07, 2.09, 0.81, 0.00, 0.18, 0.24, 0.00, 0.00, 0.00, 0.07, 0.00, 0.60, 0.57, 0.35, 2.52, 1.04, 0.85, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
35, 0, 3.400, 0.98, 1, 0.07, 1.92, 1.07, 0.00, 0.23, 0.47, 0.00, 0.00, 0.00, 0.07, 0.00, 0.71, 0.48, 0.15, 2.52, 1.02, 0.68, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
36, 0, 3.500, 0.98, 1, 0.07, 1.62, 1.11, 0.00, 0.35, 0.65, 0.00, 0.01, 0.00, 0.07, 0.00, 0.78, 0.37, 0.09, 2.38, 0.79, 0.58, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
37, 0, 3.600, 0.98, 1, 0.00, 1.16, 1.16, 0.00, 0.63, 0.74, 0.00, 0.12, 0.00, 0.31, 0.00, 0.66, 0.59, 0.09, 2.40, 0.66, 0.49, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
38, 0, 3.700, 0.98, 1, 0.00, 0.94, 1.11, 0.00, 0.90, 0.74, 0.00, 0.19, 0.00, 0.58, 0.00, 0.60, 0.73, 0.22, 2.66, 0.37, 0.35, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
39, 0, 3.800, 0.98, 1, 0.00, 0.65, 1.07, 0.00, 1.08, 0.75, 0.00, 0.34, 0.00, 0.85, 0.00, 0.51, 0.89, 0.33, 2.95, 0.32, 0.28, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00
40, 0, 3.900, 0.98, 1, 0.00, 0.57, 0.97, 0.00, 1.06, 0.73, 0.00, 0.42, 0.00, 0.79, 0.00, 0.40, 0.76, 0.38, 3.22, 0.31, 0.40, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00
41, 0, 4.000, 0.98, 1, 0.00, 0.38, 0.88, 0.00, 1.06, 0.73, 0.00, 0.49, 0.00, 0.90, 0.00, 0.32, 0.76, 0.43, 3.12, 0.24, 0.53, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00
42, 0, 4.100, 0.98, 1, 0.00, 0.30, 0.82, 0.00, 1.17, 0.73, 0.00, 0.48, 0.00, 0.89, 0.28, 0.40, 0.66, 0.56, 2.80, 0.08, 0.60, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00
43, 0, 4.200, 0.98, 1, 0.00, 0.16, 0.60, 0.00, 1.23, 0.77, 0.00, 0.43, 0.00, 0.76, 0.56, 0.46, 0.44, 0.67, 2.12, 0.00, 0.42, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00
44, 0, 4.300, 0.88, 1, 0.00, 0.07, 0.31, 0.00, 1.36, 0.77, 0.00, 0.72, 0.00, 0.37, 0.83, 0.50, 0.38, 0.69, 1.21, 0.00, 0.24, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
45, 0, 4.400, 0.98, 1, 0.00, 0.00, 0.08, 0.00, 1.30, 0.85, 0.00, 1.28, 0.00, 0.12, 0.97, 1.11, 0.41, 0.58, 0.44, 0.05, 0.05, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
46, 0, 4.500, 0.98, 1, 0.08, 0.00, 0.03, 0.00, 1.22, 0.91, 0.00, 1.97, 0.00, 0.06, 1.02, 1.24, 0.43, 0.32, 0.21, 0.05, 0.10, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
47, 0, 4.600, 0.98, 1, 0.23, 0.00, 0.19, 0.00, 1.00, 0.99, 0.00, 2.27, 0.00, 0.06, 1.29, 1.09, 0.25, 0.13, 0.43, 0.05, 0.07, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
48, 0, 4.700, 0.98, 1, 0.41, 0.00, 0.19, 0.00, 0.93, 1.09, 0.01, 2.35, 0.00, 0.27, 1.18, 0.42, 0.08, 0.00, 0.70, 0.00, 0.05, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
49, 0, 4.800, 0.98, 1, 0.47, 0.00, 0.17, 0.00, 0.96, 1.17, 0.01, 2.33, 0.00, 0.57, 1.15, 0.44, 0.15, 0.00, 0.60, 0.00, 0.07, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
50, 0, 4.900, 0.98, 1, 0.36, 0.00, 0.00, 0.00, 1.12, 1.11, 0.01, 2.50, 0.00, 0.89, 1.00, 0.71, 0.23, 0.00, 0.32, 0.00, 0.06, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
51, 0, 5.000, 0.98, 1, 0.28, 0.00, 0.00, 0.00, 1.23, 1.03, 0.00, 2.49, 0.00, 0.91, 1.02, 0.91, 0.24, 0.00, 0.05, 0.00, 0.06, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
52, 0, 5.100, 0.98, 1, 0.17, 0.00, 0.00, 0.00, 1.22, 1.02, 0.00, 2.51, 0.00, 0.55, 1.08, 0.92, 0.39, 0.00, 0.02, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
53, 0, 5.200, 0.98, 1, 0.27, 0.00, 0.00, 0.00, 1.02, 1.01, 0.00, 2.30, 0.00, 0.42, 0.94, 0.62, 0.31, 0.00, 0.20, 0.13, 0.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
54, 0, 5.300, 0.98, 1, 0.41, 0.00, 0.00, 0.00, 0.82, 1.08, 0.02, 2.40, 0.00, 0.50, 0.82, 0.31, 0.35, 0.00, 0.42, 0.22, 0.10, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
55, 0, 5.400, 0.98, 1, 0.55, 0.00, 0.00, 0.00, 0.57, 1.05, 0.02, 2.36, 0.00, 0.70, 0.73, 0.00, 0.12, 0.00, 0.90, 0.45, 0.18, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
56, 0, 5.500, 0.98, 1, 0.61, 0.00, 0.00, 0.00, 0.48, 1.09, 0.02, 2.41, 0.00, 0.76, 0.78, 0.00, 0.12, 0.00, 1.23, 0.57, 0.29, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
57, 0, 5.600, 0.98, 1, 0.47, 0.00, 0.00, 0.00, 0.36, 1.02, 0.00, 2.39, 0.00, 0.73, 0.80, 0.00, 0.26, 0.00, 1.53, 0.68, 0.20, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00
58, 0, 5.700, 0.98, 1, 0.32, 0.00, 0.00, 0.00, 0.50, 0.93, 0.00, 2.52, 0.00, 0.86, 0.65, 0.24, 0.56, 0.00, 1.08, 0.45, 0.13, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00
59, 0, 5.800, 0.98, 1, 0.16, 0.00, 0.00, 0.00, 0.58, 0.78, 0.00, 2.65, 0.00, 1.06, 0.36, 0.24, 0.65, 0.00, 1.21, 0.27, 0.07, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00
60, 0, 5.900, 0.98, 1, 0.13, 0.00, 0.00, 0.00, 0.66, 0.73, 0.00, 2.64, 0.00, 1.26, 0.12, 0.24, 0.62, 0.00, 1.29, 0.16, 0.06, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00
61, 0, 6.000, 0.98, 1, 0.11, 0.00, 0.09, 0.00, 0.55, 0.66, 0.00, 2.37, 0.00, 1.32, 0.05, 0.00, 0.34, 0.00, 1.67, 0.24, 0.06, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00
62, 0, 6.100, 0.98, 1, 0.07, 0.00, 0.10, 0.00, 0.55, 0.51, 0.02, 2.30, 0.00, 1.01, 0.13, 0.33, 0.24, 0.00, 1.41, 0.33, 0.05, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
63, 0, 6.200, 0.98, 1, 0.00, 0.00, 0.16, 0.00, 0.55, 0.45, 0.06, 2.10, 0.00, 0.87, 0.13, 0.55, 0.04, 0.00, 1.21, 0.43, 0.04, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
64, 0, 6.300, 0.98, 1, 0.00, 0.00, 0.17, 0.00, 0.59, 0.41, 0.08, 2.02, 0.00, 0.47, 0.12, 0.85, 0.00, 0.00, 1.14, 0.55, 0.08, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
65, 0, 6.400, 0.98, 1, 0.00, 0.00, 0.26, 0.00, 0.53, 0.42, 0.23, 1.65, 0.00, 0.51, 0.03, 0.92, 0.00, 0.15, 0.96, 0.81, 0.04, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
66, 0, 6.500, 0.98, 1, 0.00, 0.00, 0.22, 0.00, 0.40, 0.22, 0.36, 1.44, 0.00, 0.25, 0.03, 1.17, 0.00, 0.24, 0.70, 1.04, 0.04, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
67, 0, 6.600, 0.98, 1, 0.03, 0.00, 0.13, 0.00, 0.21, 0.05, 0.38, 1.16, 0.00, 0.32, 0.00, 1.23, 0.00, 0.24, 0.35, 1.31, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
68, 0, 6.700, 0.98, 1, 0.39, 0.00, 0.02, 0.00, 0.10, 0.08, 0.20, 1.16, 0.00, 0.30, 0.00, 1.04, 0.00, 0.10, 0.22, 1.33, 0.15, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
69, 0, 6.800, 0.98, 1, 0.86, 0.00, 0.00, 0.00, 0.10, 0.08, 0.03, 1.15, 0.00, 0.33, 0.05, 1.08, 0.00, 0.00, 0.08, 1.14, 0.23, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
70, 0, 6.900, 0.98, 1, 1.21, 0.00, 0.00, 0.00, 0.09, 0.08, 0.00, 1.20, 0.00, 0.36, 0.05, 1.22, 0.00, 0.00, 0.07, 0.72, 0.24, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
